"x","y","z","ID","nodeid","treeid","radius","radius_obs","length","volume","n","tumor_half","cen_dist","parent","generation","gen_diff","hs_nodeid","hs_parent","hs_length","beta.ave","gamma.ave","beta.diff","gamma.diff","asymmetry"
-67.1406778864971,35.7667424657535,1681.47435897436,31,30.01,2,2.02498,2.34216,25.6153,329.982,3,1,13.2877789545738,NA,5,NA,1.01,NA,104.91897,0.882418301299127,0.318201001653194,NA,NA,NA
-66.2118637964775,34.8379283757339,1681.47435897436,31,30.01,2,2.02498,2.34216,25.6153,329.982,3,1,12.0303056387989,NA,5,NA,1.01,NA,104.91897,0.882418301299127,0.318201001653194,NA,NA,NA
-65.2830497064579,33.9091142857143,1683.48717948718,31,30.01,2,2.02498,2.34216,25.6153,329.982,3,1,10.8979294597797,NA,5,NA,1.01,NA,104.91897,0.882418301299127,0.318201001653194,NA,NA,NA
-64.3542356164384,32.9803001956947,1683.48717948718,31,30.01,2,2.02498,2.34216,25.6153,329.982,3,1,9.6865688268957,NA,5,NA,1.01,NA,104.91897,0.882418301299127,0.318201001653194,NA,NA,NA
-64.3542356164384,32.0514861056752,1683.48717948718,31,30.01,2,2.02498,2.34216,25.6153,329.982,3,1,8.84969286825435,NA,5,NA,1.01,NA,104.91897,0.882418301299127,0.318201001653194,NA,NA,NA
-64.3542356164384,31.1226720156556,1683.48717948718,31,30.01,2,2.02498,2.34216,25.6153,329.982,3,1,8.03305068540665,NA,5,NA,1.01,NA,104.91897,0.882418301299127,0.318201001653194,NA,NA,NA
-65.2830497064579,30.193857925636,1685.5,31,30.01,2,2.02498,2.34216,25.6153,329.982,3,1,8.40779285966782,NA,5,NA,1.01,NA,104.91897,0.882418301299127,0.318201001653194,NA,NA,NA
-65.2830497064579,30.193857925636,1685.5,31,30.01,2,2.02498,2.34216,25.6153,329.982,3,1,8.40779285966782,NA,5,NA,1.01,NA,104.91897,0.882418301299127,0.318201001653194,NA,NA,NA
-66.2118637964775,30.193857925636,1685.5,31,30.01,2,2.02498,2.34216,25.6153,329.982,3,1,8.9506245518104,NA,5,NA,1.01,NA,104.91897,0.882418301299127,0.318201001653194,NA,NA,NA
-67.1406778864971,29.2650438356164,1685.5,31,30.01,2,2.02498,2.34216,25.6153,329.982,3,1,8.99585416170446,NA,5,NA,1.01,NA,104.91897,0.882418301299127,0.318201001653194,NA,NA,NA
-68.0694919765166,28.3362297455969,1687.51282051282,31,30.01,2,2.02498,2.34216,25.6153,329.982,3,1,10.1890293221323,NA,5,NA,1.01,NA,104.91897,0.882418301299127,0.318201001653194,NA,NA,NA
-68.0694919765166,27.4074156555773,1687.51282051282,31,30.01,2,2.02498,2.34216,25.6153,329.982,3,1,9.8453401611983,NA,5,NA,1.01,NA,104.91897,0.882418301299127,0.318201001653194,NA,NA,NA
-68.9983060665362,26.4786015655578,1687.51282051282,31,30.01,2,2.02498,2.34216,25.6153,329.982,3,1,10.3135537647834,NA,5,NA,1.01,NA,104.91897,0.882418301299127,0.318201001653194,NA,NA,NA
-69.9271201565558,25.5497874755382,1687.51282051282,31,30.01,2,2.02498,2.34216,25.6153,329.982,3,1,10.9205696776188,NA,5,NA,1.01,NA,104.91897,0.882418301299127,0.318201001653194,NA,NA,NA
-70.8559342465753,24.6209733855186,1687.51282051282,31,30.01,2,2.02498,2.34216,25.6153,329.982,3,1,11.6447016004554,NA,5,NA,1.01,NA,104.91897,0.882418301299127,0.318201001653194,NA,NA,NA
-71.7847483365949,23.692159295499,1687.51282051282,31,30.01,2,2.02498,2.34216,25.6153,329.982,3,1,12.4655561889091,NA,5,NA,1.01,NA,104.91897,0.882418301299127,0.318201001653194,NA,NA,NA
-72.7135624266145,23.692159295499,1687.51282051282,31,30.01,2,2.02498,2.34216,25.6153,329.982,3,1,13.3000198792597,NA,5,NA,1.01,NA,104.91897,0.882418301299127,0.318201001653194,NA,NA,NA
-73.642376516634,22.7633452054795,1689.52564102564,31,30.01,2,2.02498,2.34216,25.6153,329.982,3,1,15.1191614444263,NA,5,NA,1.01,NA,104.91897,0.882418301299127,0.318201001653194,NA,NA,NA
-74.5711906066536,21.8345311154599,1689.52564102564,31,30.01,2,2.02498,2.34216,25.6153,329.982,3,1,16.0314383214987,NA,5,NA,1.01,NA,104.91897,0.882418301299127,0.318201001653194,NA,NA,NA
-75.5000046966732,21.8345311154599,1689.52564102564,31,30.01,2,2.02498,2.34216,25.6153,329.982,3,1,16.8429102600704,NA,5,NA,1.01,NA,104.91897,0.882418301299127,0.318201001653194,NA,NA,NA
-77.3576328767123,22.7633452054795,1687.51282051282,30,29.01,2,1.0695,0.632995,2.39137,8.59329,2,1,17.6639448072383,30.01,5,NA,1.01,NA,104.91897,1.05630743338008,6.13996997536977,0.202359981299673,1.59059451276883,TRUE
-76.4288187866928,21.8345311154599,1689.52564102564,30,29.01,2,1.0695,0.632995,2.39137,8.59329,2,1,17.6659454496268,30.01,5,NA,1.01,NA,104.91897,1.05630743338008,6.13996997536977,0.202359981299673,1.59059451276883,TRUE
