"x","y","z","ID","nodeid","treeid","radius","radius_obs","length","volume","n","tumor_half","cen_dist","parent","generation","gen_diff","hs_nodeid","hs_parent","hs_length","beta.ave","gamma.ave","beta.diff","gamma.diff","asymmetry"
-64.2909266536203,16.6899268258317,202.701923076923,199,198.001,1,0.573989,0.0818537,10.7698,11.1472,2,1,12.083815912255,NA,6,NA,1.001,NA,26.7898,3.13170262346989,0.318750315034369,-0.318629799525775,0.0304815316904678,FALSE
-65.1930796712329,16.6899268258317,202.701923076923,199,198.001,1,0.573989,0.0818537,10.7698,11.1472,2,1,11.227940252116,NA,6,NA,1.001,NA,26.7898,3.13170262346989,0.318750315034369,-0.318629799525775,0.0304815316904678,FALSE
-66.0952326888454,16.6899268258317,201.447115384615,199,198.001,1,0.573989,0.0818537,10.7698,11.1472,2,1,10.0474124429073,NA,6,NA,1.001,NA,26.7898,3.13170262346989,0.318750315034369,-0.318629799525775,0.0304815316904678,FALSE
-66.9973857064579,16.6899268258317,200.192307692308,199,198.001,1,0.573989,0.0818537,10.7698,11.1472,2,1,8.97837380121909,NA,6,NA,1.001,NA,26.7898,3.13170262346989,0.318750315034369,-0.318629799525775,0.0304815316904678,FALSE
-67.8995387240705,17.5920798434442,200.192307692308,199,198.001,1,0.573989,0.0818537,10.7698,11.1472,2,1,8.31736117135256,NA,6,NA,1.001,NA,26.7898,3.13170262346989,0.318750315034369,-0.318629799525775,0.0304815316904678,FALSE
-68.801691741683,17.5920798434442,200.192307692308,199,198.001,1,0.573989,0.0818537,10.7698,11.1472,2,1,7.46576002132699,NA,6,NA,1.001,NA,26.7898,3.13170262346989,0.318750315034369,-0.318629799525775,0.0304815316904678,FALSE
-69.7038447592955,17.5920798434442,198.9375,199,198.001,1,0.573989,0.0818537,10.7698,11.1472,2,1,6.59019249377772,NA,6,NA,1.001,NA,26.7898,3.13170262346989,0.318750315034369,-0.318629799525775,0.0304815316904678,FALSE
-70.605997776908,17.5920798434442,198.9375,199,198.001,1,0.573989,0.0818537,10.7698,11.1472,2,1,5.76586794985065,NA,6,NA,1.001,NA,26.7898,3.13170262346989,0.318750315034369,-0.318629799525775,0.0304815316904678,FALSE
-70.605997776908,17.5920798434442,198.9375,199,198.001,1,0.573989,0.0818537,10.7698,11.1472,2,1,5.76586794985065,NA,6,NA,1.001,NA,26.7898,3.13170262346989,0.318750315034369,-0.318629799525775,0.0304815316904678,FALSE
-71.5081507945205,18.4942328610567,198.9375,199,198.001,1,0.573989,0.0818537,10.7698,11.1472,2,1,5.47278125154803,NA,6,NA,1.001,NA,26.7898,3.13170262346989,0.318750315034369,-0.318629799525775,0.0304815316904678,FALSE
-72.4103038121331,18.4942328610567,198.9375,199,198.001,1,0.573989,0.0818537,10.7698,11.1472,2,1,4.79806742409014,NA,6,NA,1.001,NA,26.7898,3.13170262346989,0.318750315034369,-0.318629799525775,0.0304815316904678,FALSE
-64.2909266536203,14.8856207906067,200.192307692308,170,169.001,1,2.00658,2.17653,3.0577,38.6773,2,1,11.5410190250355,198.001,6,NA,1.001,NA,26.7898,0.815539624634951,3.92837426824083,-0.0344890310877214,0.282598031199922,FALSE
-65.1930796712329,13.9834677729941,200.192307692308,170,169.001,1,2.00658,2.17653,3.0577,38.6773,2,1,10.7000210658585,198.001,6,NA,1.001,NA,26.7898,0.815539624634951,3.92837426824083,-0.0344890310877214,0.282598031199922,FALSE
-66.0952326888454,13.0813147553816,198.9375,170,169.001,1,2.00658,2.17653,3.0577,38.6773,2,1,9.92711086799445,198.001,6,NA,1.001,NA,26.7898,0.815539624634951,3.92837426824083,-0.0344890310877214,0.282598031199922,FALSE
-60.6823145831702,14.8856207906067,202.701923076923,198,197.001,1,1.6408,1.65114,3.71426,31.4148,2,1,15.4827445069061,198.001,2,4,59.001,1.001,45.88097,0.670633684787908,0.922654176067373,-0.163682045343735,0.294832618071971,FALSE
-61.5844676007828,14.8856207906067,201.447115384615,198,197.001,1,1.6408,1.65114,3.71426,31.4148,2,1,14.3687310256353,198.001,2,4,59.001,1.001,45.88097,0.670633684787908,0.922654176067373,-0.163682045343735,0.294832618071971,FALSE
-62.4866206183953,14.8856207906067,201.447115384615,198,197.001,1,1.6408,1.65114,3.71426,31.4148,2,1,13.4768388796391,198.001,2,4,59.001,1.001,45.88097,0.670633684787908,0.922654176067373,-0.163682045343735,0.294832618071971,FALSE
-63.3887736360078,15.7877738082192,201.447115384615,198,197.001,1,1.6408,1.65114,3.71426,31.4148,2,1,12.6015144322989,198.001,2,4,59.001,1.001,45.88097,0.670633684787908,0.922654176067373,-0.163682045343735,0.294832618071971,FALSE
-66.0952326888454,12.1791617377691,198.9375,171,170.001,1,1.69873,2.91502,11.2341,101.845,2,1,10.151371622789,169.001,5,1,2.001,1.001,129.71133,0.835276942186222,0.522161890039157,-0.4329057590082,0.233568332131635,FALSE
-65.1930796712329,11.2770087201565,200.192307692308,171,170.001,1,1.69873,2.91502,11.2341,101.845,2,1,11.3136597847626,169.001,5,1,2.001,1.001,129.71133,0.835276942186222,0.522161890039157,-0.4329057590082,0.233568332131635,FALSE
-64.2909266536203,11.2770087201565,200.192307692308,171,170.001,1,1.69873,2.91502,11.2341,101.845,2,1,12.1635053509066,169.001,5,1,2.001,1.001,129.71133,0.835276942186222,0.522161890039157,-0.4329057590082,0.233568332131635,FALSE
-63.3887736360078,10.374855702544,200.192307692308,171,170.001,1,1.69873,2.91502,11.2341,101.845,2,1,13.3149886653856,169.001,5,1,2.001,1.001,129.71133,0.835276942186222,0.522161890039157,-0.4329057590082,0.233568332131635,FALSE
-62.4866206183953,10.374855702544,200.192307692308,171,170.001,1,1.69873,2.91502,11.2341,101.845,2,1,14.1596754243971,169.001,5,1,2.001,1.001,129.71133,0.835276942186222,0.522161890039157,-0.4329057590082,0.233568332131635,FALSE
