"x","y","z","ID","nodeid","treeid","radius","radius_obs","length","volume","n","tumor_half","cen_dist","parent","generation","gen_diff","hs_nodeid","hs_parent","hs_length","beta.ave","gamma.ave","beta.diff","gamma.diff","asymmetry"
-55.1859099804305,28.7608610567515,165.272222222222,76,75.001,1,2.4229,3.377,19.9465,367.864,4,0,12.1370650766614,NA,6,NA,1.001,NA,213.7778,0.862847895772284,1.30738788759933,NA,NA,NA
-55.9686888454012,29.5436399217221,165.272222222222,76,75.001,1,2.4229,3.377,19.9465,367.864,4,0,11.8224590591756,NA,6,NA,1.001,NA,213.7778,0.862847895772284,1.30738788759933,NA,NA,NA
-56.7514677103718,29.5436399217221,165.272222222222,76,75.001,1,2.4229,3.377,19.9465,367.864,4,0,11.2724757952647,NA,6,NA,1.001,NA,213.7778,0.862847895772284,1.30738788759933,NA,NA,NA
-57.5342465753425,28.7608610567515,166.527777777778,76,75.001,1,2.4229,3.377,19.9465,367.864,4,0,9.66872824728938,NA,6,NA,1.001,NA,213.7778,0.862847895772284,1.30738788759933,NA,NA,NA
-57.5342465753425,28.7608610567515,167.783333333333,76,75.001,1,2.4229,3.377,19.9465,367.864,4,0,8.99547584200552,NA,6,NA,1.001,NA,213.7778,0.862847895772284,1.30738788759933,NA,NA,NA
-56.7514677103718,28.7608610567515,169.038888888889,76,75.001,1,2.4229,3.377,19.9465,367.864,4,0,9.10944822602391,NA,6,NA,1.001,NA,213.7778,0.862847895772284,1.30738788759933,NA,NA,NA
-55.9686888454012,27.9780821917808,170.294444444444,76,75.001,1,2.4229,3.377,19.9465,367.864,4,0,9.17931458053125,NA,6,NA,1.001,NA,213.7778,0.862847895772284,1.30738788759933,NA,NA,NA
-55.1859099804305,27.1953033268102,170.294444444444,76,75.001,1,2.4229,3.377,19.9465,367.864,4,0,9.70817169416376,NA,6,NA,1.001,NA,213.7778,0.862847895772284,1.30738788759933,NA,NA,NA
-54.4031311154599,27.1953033268102,171.55,76,75.001,1,2.4229,3.377,19.9465,367.864,4,0,10.3099075904143,NA,6,NA,1.001,NA,213.7778,0.862847895772284,1.30738788759933,NA,NA,NA
-53.6203522504892,27.1953033268102,172.805555555556,76,75.001,1,2.4229,3.377,19.9465,367.864,4,0,11.0778209234248,NA,6,NA,1.001,NA,213.7778,0.862847895772284,1.30738788759933,NA,NA,NA
-53.6203522504892,27.1953033268102,174.061111111111,76,75.001,1,2.4229,3.377,19.9465,367.864,4,0,11.2212563310219,NA,6,NA,1.001,NA,213.7778,0.862847895772284,1.30738788759933,NA,NA,NA
-53.6203522504892,26.4125244618395,174.061111111111,76,75.001,1,2.4229,3.377,19.9465,367.864,4,0,11.0997093417103,NA,6,NA,1.001,NA,213.7778,0.862847895772284,1.30738788759933,NA,NA,NA
-53.6203522504892,25.6297455968689,175.316666666667,76,75.001,1,2.4229,3.377,19.9465,367.864,4,0,11.3166825323722,NA,6,NA,1.001,NA,213.7778,0.862847895772284,1.30738788759933,NA,NA,NA
-52.8375733855186,24.8469667318982,176.572222222222,76,75.001,1,2.4229,3.377,19.9465,367.864,4,0,12.4464113011829,NA,6,NA,1.001,NA,213.7778,0.862847895772284,1.30738788759933,NA,NA,NA
-52.0547945205479,24.0641878669276,176.572222222222,76,75.001,1,2.4229,3.377,19.9465,367.864,4,0,13.2176329112417,NA,6,NA,1.001,NA,213.7778,0.862847895772284,1.30738788759933,NA,NA,NA
-51.2720156555773,23.2814090019569,177.827777777778,76,75.001,1,2.4229,3.377,19.9465,367.864,4,0,14.4777916836027,NA,6,NA,1.001,NA,213.7778,0.862847895772284,1.30738788759933,NA,NA,NA
-51.2720156555773,24.0641878669276,179.083333333333,91,90.001,1,2.45206,4.39878,36.6004,691.35,2,0,14.9407962123176,75.001,6,NA,1.001,NA,213.7778,0.743658257410776,0.388078363442294,-0.387882025725309,0.201038103408706,FALSE
-51.2720156555773,24.8469667318982,179.083333333333,91,90.001,1,2.45206,4.39878,36.6004,691.35,2,0,14.9085204203967,75.001,6,NA,1.001,NA,213.7778,0.743658257410776,0.388078363442294,-0.387882025725309,0.201038103408706,FALSE
-51.2720156555773,25.6297455968689,180.338888888889,91,90.001,1,2.45206,4.39878,36.6004,691.35,2,0,15.5399076915391,75.001,6,NA,1.001,NA,213.7778,0.743658257410776,0.388078363442294,-0.387882025725309,0.201038103408706,FALSE
-51.2720156555773,26.4125244618395,181.594444444444,91,90.001,1,2.45206,4.39878,36.6004,691.35,2,0,16.2816401510037,75.001,6,NA,1.001,NA,213.7778,0.743658257410776,0.388078363442294,-0.387882025725309,0.201038103408706,FALSE
-51.2720156555773,27.1953033268102,182.85,91,90.001,1,2.45206,4.39878,36.6004,691.35,2,0,17.119381004028,75.001,6,NA,1.001,NA,213.7778,0.743658257410776,0.388078363442294,-0.387882025725309,0.201038103408706,FALSE
-51.2720156555773,27.9780821917808,182.85,91,90.001,1,2.45206,4.39878,36.6004,691.35,2,0,17.2340284797262,75.001,6,NA,1.001,NA,213.7778,0.743658257410776,0.388078363442294,-0.387882025725309,0.201038103408706,FALSE
-51.2720156555773,28.7608610567515,182.85,91,90.001,1,2.45206,4.39878,36.6004,691.35,2,0,17.3832032382367,75.001,6,NA,1.001,NA,213.7778,0.743658257410776,0.388078363442294,-0.387882025725309,0.201038103408706,FALSE
-51.2720156555773,29.5436399217221,182.85,91,90.001,1,2.45206,4.39878,36.6004,691.35,2,0,17.5660256605346,75.001,6,NA,1.001,NA,213.7778,0.743658257410776,0.388078363442294,-0.387882025725309,0.201038103408706,FALSE
